,date,country_code,continent,cumulative_pos,cumulative_dec,curr_pos,gdp_per_cap,gini_index,gini_year,population,pop_density,unemploy_rates,dec_pos_ratio,cpos_norm,cdec_norm
82,2021-03-13,MDA,EU,203710,4294,22077.0,4503.516985,25.9,2017,2657637.0,94.26443028,5.099999905,0.02107898483137794,0.07665079918739844,0.001615721033384168
83,2021-02-15,MNG,AS,2383,2,2381.0,4339.843279,32.3,2016,3225167.0,2.035766782,5.309999943,0.000839278220730172,0.000738876467482149,6.201229269678128e-07
84,2021-03-13,MNE,EU,83165,1122,,8908.934792,31.9,2014,622137.0,46.26223048,15.11999989,0.013491252329706006,0.13367634459934066,0.0018034612955024375
85,2021-02-15,MAR,AF,478474,8477,469997.0,3204.095003,39.5,2013,36471769.0,80.72851893,9.010000229,0.017716741139539454,0.013119023648126308,0.00023242634597735033
86,2021-02-15,MOZ,AF,50265,535,49730.0,503.5707727,54.0,2014,30366036.0,37.50853531,3.190000057,0.010643588978414404,0.0016553033132148036,1.7618368100465927e-05
87,2021-02-15,NAM,AF,35952,388,35564.0,4957.458222,59.1,2015,2494530.0,2.973745582,19.75,0.01079216733422341,0.014412334187201597,0.00015554032222502836
88,2021-02-15,NPL,AS,272718,2054,270664.0,1071.050761,32.8,2010,28608710.0,195.9391071,2.849999905,0.007531589407373184,0.009532691267799213,7.179631657631539e-05
89,2021-03-11,NLD,EU,1138796,22136,1116660.0,52331.31673,28.2,2015,17332850.0,511.7797446,3.380000114,0.01943807319309165,0.06570160129465148,0.0012771125348687608
90,2021-02-15,NIC,,6347,171,6176.0,1912.903745,46.2,2014,6545502.0,53.72704836,5.139999866,0.026941862297148258,0.0009696735254224962,2.6124810595123185e-05
91,2021-02-15,NER,AF,4695,169,4526.0,553.8950504,34.3,2014,23310715.0,17.71765059,0.460000008,0.03599574014909478,0.00020140952347450517,7.249884870541294e-06
92,2021-02-15,NGA,AF,146184,1752,144432.0,2229.858696,43.0,2009,200963599.0,215.064989,8.529999733,0.011984895747824659,0.0007274153166414979,8.717996735319216e-06
93,2021-03-13,MKD,EU,112107,3300,11641.0,6022.216179,35.6,2015,2083459.0,82.59151467,17.26000023,0.029436163665069976,0.05380811429454575,0.0015839044588830402
94,2021-03-12,NOR,EU,76679,639,76040.0,75419.63487,27.5,2015,5347896.0,14.54889562,3.690000057,0.008333442011502497,0.014338162148254192,0.00011948624281399638
95,2021-02-15,PAK,AS,564077,12333,551744.0,1284.702041,33.5,2015,216565318.0,275.2893187,3.980000019,0.021864036292917458,0.0026046506671026613,5.694817671590425e-05
96,2021-02-15,PAN,,332679,5642,327037.0,15731.01603,49.9,2017,4246439.0,56.30954339,4.739999771,0.01695929108840654,0.07834305402715075,0.00132864265800121
97,2021-02-15,PNG,OC,955,10,945.0,2829.170309,41.9,2009,8776109.0,19.00436338,2.369999886,0.010471204188481676,0.00010881815620111373,1.1394571329959553e-06
98,2021-02-15,PRY,SA,145095,2953,142142.0,5414.799138,48.8,2017,7044636.0,17.50835892,6.599999905,0.020352183052482858,0.02059652194946623,0.0004191841849600178
99,2021-02-15,PER,SA,1238501,43880,1194621.0,6977.695784,43.3,2017,32510453.0,24.99160625,3.029999971,0.0354299269843141,0.038095470401473645,0.0013497197347573102
100,2021-02-15,PHL,AS,549176,11515,537661.0,3485.084218,44.4,2015,108116615.0,357.6883053,2.24000001,0.020967777178900752,0.005079478302201747,0.00010650536922562735
101,2021-03-14,POL,EU,1906632,47178,299227.0,15692.50703,31.8,2015,37970874.0,124.0315838,3.279999971,0.024744156187455155,0.050213013269065125,0.0012424786429725057
102,2021-03-14,PRT,EU,814278,16684,38177.0,23252.05852,35.5,2015,10269417.0,112.261936,6.460000038,0.0204893169163357,0.07929155082513448,0.0016246297136439196
103,2021-03-14,ROU,EU,859709,21483,,12919.52964,35.9,2015,19356544.0,84.63380129,3.910000086,0.024988688032811103,0.04441438512990749,0.0011098572141803825
104,2021-03-14,RUS,EU,4390608,94206,301273.0,11584.99538,37.7,2015,144373535.0,8.822067953,4.599999905,0.021456253894677,0.030411446252943796,0.0006525157121074856
105,2021-02-15,RWA,AF,17343,239,17104.0,820.0252417,43.7,2016,12626950.0,498.6598703,0.99000001,0.013780776105633396,0.0013734908271593694,1.892776957222449e-05
106,2021-02-15,LCA,,2519,23,2496.0,11611.41545,51.2,2016,182790.0,298.1786885,15.59000015,0.009130607383882492,0.013780841402702556,0.00012582745226762953
107,2021-02-15,STP,AF,1482,19,1463.0,1946.643614,30.8,2010,215056.0,219.8208333,13.05000019,0.01282051282051282,0.006891228331225355,8.834908116955584e-05
108,2021-02-15,SEN,AF,31007,748,30259.0,1446.830965,40.3,2011,16296364.0,82.34747832,6.46999979,0.024123584996936176,0.0019026943678970352,4.589980930715588e-05
109,2021-03-13,SRB,EU,512051,4694,507357.0,7411.836116,39.6,2015,6944975.0,79.8376858,10.39999962,0.009167055625318572,0.07372971105007578,0.00067588436243471
111,2021-02-15,SLE,AF,3821,79,3742.0,527.5336344,34.0,2011,7813215.0,105.987171,4.360000134,0.020675215912064903,0.0004890432427624223,1.0111074634449456e-05
112,2021-03-14,SVK,EU,337503,8528,,19266.2755,26.5,2015,5454073.0,113.2855865,5.75,0.02526792354438331,0.06188090991814741,0.0015636021006686196
113,2021-03-12,SVN,EU,199108,4203,184094.0,25946.18219,25.4,2015,2087946.0,102.9922926,4.449999809,0.02110914679470438,0.0953607037729903,0.002012983094390372
114,2021-02-15,ZAF,AF,1491807,47899,1443908.0,6001.400814,63.0,2014,58558270.0,47.63011978,28.46999931,0.03210804078543672,0.025475598920528218,0.0008179715691737478
115,2021-03-10,ESP,EU,3178442,71961,,29600.37825,36.2,2015,47076781.0,93.66979208,14.10000038,0.022640337624534285,0.06751612859851229,0.001528587946571793
116,2021-02-15,LKA,AS,75654,397,75257.0,3853.083693,39.8,2016,21803000.0,350.284495,4.269999981,0.005247574483834299,0.003469889464752557,1.820850341696097e-05
117,2021-02-15,SDN,AF,29933,1849,28084.0,441.5056034,35.4,2009,42813238.0,22.60478633,16.76000023,0.06177128921257475,0.0006991529115363804,4.3187576702327445e-05
118,2021-02-15,SUR,SA,8811,167,8644.0,6359.833614,57.6,1999,581363.0,3.692224359,6.940000057,0.01895358075133356,0.015155763266668157,0.0002872559829228898
119,2021-03-11,SWE,EU,712527,13146,,51615.02065,29.2,2015,10285453.0,24.98149812,6.829999924,0.018449827164444293,0.06927521811630465,0.0012781158010250011
120,2021-03-14,CHE,EU,566230,10154,476929.0,81993.72713,32.3,2015,8574832.0,215.4651922,4.389999866,0.017932642212528476,0.0660339467875289,0.0011841631416219
121,2021-02-15,TJK,AS,13308,90,13218.0,870.7875893,34.0,2015,9321018.0,65.57271417,6.659999847,0.006762849413886384,0.0014277410471688822,9.655597704027607e-06
122,2021-02-15,THA,AS,24714,82,24632.0,7806.742211,36.5,2017,69625582.0,135.8972068,0.720000029,0.003317957433033908,0.00035495574026225016,1.177728036801186e-06
123,2021-02-15,TGO,AF,5874,81,5793.0,679.2902491,43.1,2015,8082366.0,145.0467733,3.599999905,0.013789581205311542,0.0007267673846989855,1.0021817868678553e-05
124,2021-02-15,TTO,,7646,138,7508.0,17397.98176,40.3,1992,1394973.0,270.9274854,3.460000038,0.01804865289040021,0.005481109670223008,9.892664589207102e-05
125,2021-02-15,TUN,AF,223549,7575,215974.0,3317.453593,32.8,2015,11694719.0,74.44132338,15.13000011,0.03388518848216722,0.019115380198532345,0.0006477282609355556
126,2021-03-13,TUR,AS,2866012,29421,151031.0,9126.561346,41.9,2016,83429615.0,106.9601289,13.67000008,0.010265483884924417,0.03435245386185709,0.0003526445615265035
127,2021-02-15,UGA,AF,40063,331,39732.0,794.3410779,42.8,2016,44269594.0,213.0617345,1.720000029,0.008261987369892419,0.0009049778048563084,7.476915193755786e-06
128,2021-03-14,UKR,EU,1460756,28303,209937.0,3659.031312,25.0,2016,44385155.0,77.0150466,8.18999958,0.01937558360191572,0.03291091357008892,0.0006376681572926804
129,2021-03-11,GBR,EU,4241687,125168,4116519.0,42330.11754,33.2,2015,66834405.0,274.7089819,3.74000001,0.0295090137485392,0.06346562073830088,0.0018728078749260953
130,2021-02-15,USA,,27694168,486325,27207843.0,65297.51751,41.5,2016,328239523.0,35.71362209,3.670000076,0.01756055643195347,0.08437182624104654,0.0014816162159728705
131,2021-02-15,URY,SA,49360,541,48819.0,16190.12696,39.5,2017,3461734.0,19.70802765,9.350000381,0.010960291734197731,0.014258750094605767,0.00015628006080189871
132,2021-02-15,UZB,AS,79442,622,78820.0,1724.841134,35.3,2003,33580650.0,74.80586987,5.650000095,0.007829611540494953,0.0023657076322227237,1.8522571778688026e-05
133,2021-02-15,VNM,AS,2229,35,2194.0,2715.276036,35.3,2016,96462106.0,308.1252459,2.039999962,0.01570210856886496,2.3107519547624226e-05,3.6283678069396494e-07
134,2021-02-15,ZMB,AF,69437,951,68486.0,1305.063254,57.1,2015,17861030.0,23.3414789,11.90999985,0.013695868197070726,0.0038876257416285624,5.3244409756884124e-05
135,2021-02-15,ZWE,AF,35172,1400,33772.0,1463.98591,43.2,2011,14645468.0,37.32459093,5.019999981,0.039804389855566925,0.002401562039533322,9.559271168391478e-05
